WELL_ID,TREND,Presence,p-val,z
USGS-353923117490901,|('decreasing', True,0.000979582, -3.2963263365843885)|
USGS-354408117485802,|('no trend', False,0.338180509, 0.9577665126050852)|
USGS-353720117402501,|('no trend', False,1, 0)|
USGS-353959117431903,|('no trend', False,0.132854956, -1.502938298604359)|
USGS-350828118000901,|('no trend', False,0.081880128, 1.7398797912861377)|
USGS-345241117522301,|('no trend', False,0.537521936, 0.6165646206758945)|
USGS-354037117373201,|('no trend', False,0.259656356, -1.1272037239532693)|
USGS-354118117451501,|('increasing', True,9.33E-10, 6.120477832808756)|
USGS-352052117483001,|('no trend', False,1, 0.0)|
USGS-353504117394401,|('no trend', False,0.089429359, 1.6984155512168937)|
USGS-353701117382601,|('no trend', False,1, 0.0)|
USGS-353724117404302,|('no trend', False,0.707114231, -0.3757345746510897)|
USGS-353925119371801,|('no trend', False,1, 0)|
USGS-350025117463001,|('no trend', False,1, 0.0)|
USGS-351655118594301,|('no trend', False,0.089429359, 1.6984155512168937)|
USGS-354228117463001,|('no trend', False,1, 0.0)|
USGS-354647119061801,|('no trend', False,1, 0.0)|
USGS-351332118450601,|('no trend', False,1, 0.0)|
USGS-353942117481501,|('no trend', False,0.734095182, 0.3396831102433787)|
USGS-354538119474401,|('no trend', False,1, 0.0)|
USGS-345215118092401,|('no trend', False,0.173546222, 1.360897063089832)|
USGS-351752117590501,|('no trend', False,1, 0.0)|
USGS-353608119193101,|('no trend', False,1, 0.0)|
USGS-353633119261401,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-344923117550305,|('no trend', False,1, 0.0)|
USGS-353926117452701,|('no trend', False,1, 0.0)|
USGS-354406119131901,|('no trend', False,1, 0.0)|
USGS-350020118110401,|('no trend', False,1, 0.0)|
USGS-351354117584401,|('no trend', False,1, 0.0)|
USGS-352232117492801,|('no trend', False,0.229556214, -1.2015028183722212)|
10N12W15M003S,|('no trend', False,1, 0.0)|
26S39E30J001M,|('no trend', False,1, 0.0)|
26S25E07H001M,|('no trend', False,1, 0)|
27S25E23A001M,|('increasing', True,0.027486336, 2.2045407685048604)|
27S25E35L001M,|('no trend', False,1, 0.0)|
28S26E07D001M,|('no trend', False,0.296269871, 1.044465935734187)|
27S26E27A001M,|('increasing', True,0.013531585, 2.4694634187431173)|
09N18W36B001SS,|('no trend', False,1, 0)|
